Location,Date,Hum5,Raf6,RfD29,Tav16,Tmi2,Tmx19,LandUse,level
KBS,2012-05-16,310.40000000000003,6.5,7,310.70000000000005,39.9,272.6,2,1
KBS,2012-05-17,313.6,6.5,7,304.40000000000003,44.7,277.49999999999994,2,1
KBS,2012-05-18,312.3,7.0,8,298.40000000000003,42.5,277.59999999999997,2,1
KBS,2012-05-19,310.7,7.0,8,293.40000000000003,45.0,275.59999999999997,2,1
KBS,2012-05-20,269.9,7.0,8,292.90000000000003,50.3,273.30000000000007,2,1
KBS,2012-05-21,243.7,0.5,7,294.50000000000006,54.5,270.5,2,1
KBS,2012-05-22,219.89999999999998,0.5,6,298.70000000000005,57.599999999999994,268.7,2,1
KBS,2012-05-23,197.9,0.5,6,303.90000000000003,58.2,269.5,2,1
KBS,2012-05-24,186.0,0.0,6,307.5,57.1,273.5,2,1
KBS,2012-05-25,201.0,0.0,5,306.40000000000003,51.8,277.0,2,1
KBS,2012-05-26,207.3,0.0,4,306.20000000000005,50.6,280.09999999999997,2,1
KBS,2012-05-27,217.3,0.0,4,305.90000000000003,52.7,282.0,2,1
KBS,2012-05-28,248.29999999999998,0.3,5,309.0,49.5,284.90000000000003,2,1
KBS,2012-05-29,266.79999999999995,0.4,6,312.8,49.4,286.29999999999995,2,1
KBS,2012-05-30,254.59999999999997,0.4,6,315.3,51.4,289.6,2,1
KBS,2012-05-31,253.6,0.4,6,319.9,49.0,295.0,2,1
KBS,2012-06-01,267.4,0.6000000000000001,6,323.90000000000003,50.8,297.20000000000005,2,1
KBS,2012-06-02,254.09999999999997,0.6000000000000001,5,328.7,53.9,298.70000000000005,2,1
KBS,2012-06-03,240.89999999999998,0.30000000000000004,5,335.2,55.5,302.8,2,1
KBS,2012-06-04,239.00000000000003,0.2,5,340.4,57.900000000000006,307.8,2,1
KBS,2012-06-05,229.7,0.2,5,344.6,58.2,313.70000000000005,2,1
KBS,2012-06-06,233.7,0.2,5,345.8,56.6,319.6000000000001,2,1
KBS,2012-06-07,243.39999999999998,0.0,5,345.79999999999995,56.4,326.70000000000005,2,1
KBS,2012-06-08,261.4,0.0,5,345.5,58.3,332.1000000000001,2,1
KBS,2012-06-09,288.9,2.0,6,345.6,57.3,336.6,2,1
KBS,2012-06-10,313.29999999999995,2.0,6,350.1,57.8,338.00000000000006,2,1
KBS,2012-06-11,309.5,2.0,6,353.29999999999995,58.599999999999994,341.00000000000006,2,1
KBS,2012-06-12,306.9,2.0,6,356.70000000000005,56.5,343.00000000000006,2,1
KBS,2012-06-13,303.0,2.4,6,360.0,56.7,345.0,2,1
KBS,2012-06-14,289.7,2.4,6,362.5,57.8,347.1000000000001,2,1
KBS,2012-06-15,279.3,0.4,6,365.7,60.599999999999994,352.30000000000007,2,1
KBS,2012-06-16,273.3,0.4,5,368.7,59.7,355.6,2,1
KBS,2012-06-17,275.2,0.4,5,371.29999999999995,57.9,359.4,2,1
KBS,2012-06-18,268.8,0.4,5,373.5,59.7,358.7,2,1
KBS,2012-06-19,262.2,0.0,5,375.3,60.0,360.20000000000005,2,1
KBS,2012-06-20,257.9,0.0,5,378.0,63.7,364.5,2,1
KBS,2012-06-21,254.20000000000002,0.0,5,379.7,64.8,369.50000000000006,2,1
KBS,2012-06-22,248.2,0.0,5,382.9,63.7,371.6,2,1
KBS,2012-06-23,257.09999999999997,0.0,5,384.2,61.7,374.90000000000003,2,1
KBS,2012-06-24,266.4,0.0,5,387.4,61.0,377.80000000000007,2,1
KBS,2012-06-25,269.90000000000003,0.0,5,393.0,64.5,381.6000000000001,2,1
KBS,2012-06-26,261.3,0.0,4,395.29999999999995,66.0,384.7,2,1
KBS,2012-06-27,250.9,0.0,3,396.19999999999993,64.0,386.8,2,1
KBS,2012-06-28,236.6,0.0,3,397.79999999999995,61.8,387.1,2,1
KBS,2012-06-29,231.2,0.0,3,400.5,60.6,389.40000000000003,2,1
KBS,2012-06-30,243.3,20.0,3,403.0,60.6,390.59999999999997,2,1
KBS,2012-07-01,290.6,89.5,4,400.1,54.7,390.49999999999994,2,1
KBS,2012-07-02,325.79999999999995,89.5,4,398.0,49.099999999999994,390.69999999999993,2,1
KBS,2012-07-03,341.5,89.5,4,398.5,55.2,394.09999999999997,2,1
KBS,2012-07-04,369.19999999999993,114.5,5,397.6,55.5,394.49999999999994,2,1
KBS,2012-07-05,388.59999999999997,114.8,6,397.1,53.099999999999994,396.7,2,1
KBS,2012-07-06,390.4,166.8,7,393.8,52.0,397.40000000000003,2,1
KBS,2012-07-07,399.09999999999997,199.8,8,389.29999999999995,46.400000000000006,399.19999999999993,2,1
KBS,2012-07-08,398.4,199.8,7,388.4,52.8,397.5999999999999,2,1
KBS,2012-07-09,384.8,199.8,7,389.90000000000003,61.7,398.0999999999999,2,1
KBS,2012-07-10,369.1,174.8,7,390.0,63.0,398.69999999999993,2,1
KBS,2012-07-11,346.9,181.0,8,388.1,61.4,399.0999999999999,2,1
KBS,2012-07-12,341.6,117.0,8,384.9,55.6,398.79999999999995,2,1
KBS,2012-07-13,351.8,14.5,8,385.0,55.0,398.40000000000003,2,1
KBS,2012-07-14,363.4,91.0,9,386.3,57.8,396.6,2,1
KBS,2012-07-15,381.4,99.0,10,383.8,55.5,394.8,2,1
KBS,2012-07-16,403.5,131.5,11,377.6,46.7,393.3,2,1
KBS,2012-07-17,400.3,127.5,12,377.4,45.5,393.0,2,1
KBS,2012-07-18,398.5,119.5,12,381.3,54.0,393.70000000000005,2,1
KBS,2012-07-19,401.2,125.5,13,383.6,57.4,396.40000000000003,2,1
KBS,2012-07-20,404.40000000000003,121.5,14,384.79999999999995,54.9,398.59999999999997,2,1
KBS,2012-07-21,388.5,114.5,15,386.0,56.2,401.5,2,1
KBS,2012-07-22,375.6,82.0,15,390.8,61.099999999999994,403.90000000000003,2,1
KBS,2012-07-23,379.5,96.0,16,397.1,61.8,407.90000000000003,2,1
KBS,2012-07-24,374.6,97.0,17,399.9,60.9,410.90000000000003,2,1
KBS,2012-07-25,361.20000000000005,91.0,17,401.9,62.6,415.50000000000006,2,2
KBS,2012-07-26,355.6,18.5,17,403.5,64.2,419.8,2,1
KBS,2012-07-27,351.6,17.5,17,405.70000000000005,64.7,425.6,2,1
KBS,2012-07-28,345.2,17.5,17,410.3,64.9,429.09999999999997,2,1
KBS,2012-07-29,338.6,1.0,16,414.1,65.5,432.4,2,1
KBS,2012-07-30,333.5,0.0,15,417.2,66.4,436.9,2,1
KBS,2012-07-31,337.8,18.0,16,422.8,64.80000000000001,438.9,2,1
KBS,2012-08-01,340.5,18.1,17,432.1,64.6,444.4,2,1
